sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	1 Cognitive Science-A 	98 Education-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	1 Italian Studies-A 	10 Computer Science-A 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	2 Italian Studies-Credit 	61A Computer Science-A 	R5B Scandinavian-A 	3BL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-A 	sem 4: 	major: ['Cognitive Science']: 	3 Italian Studies-A 	132 Philosophy-B 	61B Computer Science-A 	197 Education-Credit 	C127 Cognitive Science-A 	140AC Education-A 	sem 5: 	major: ['Cognitive Science']: 	1AL Biology-A 	1A Biology-A 	9F Computer Science-Credit 	C100 Cognitive Science-A 	100 Linguistics-A 	4 Italian Studies-A 	C61 Molecular & Cell Biology-A 	sem 6: 	major: ['Cognitive Science']: 	131 Integrative Biology-A 	131L Integrative Biology-A 	N140 Psychology-A 	sem 7: 	major: ['Cognitive Science']: 	61C Computer Science-A 	8A Physics-A 	131 Cognitive Science-A 	188 Computer Science-A 	198 Computer Science-Credit 	133 Psychology-A 
label: 	['12 Italian Studies', '186 Computer Science', '8B Physics', '160 Computer Science']
predict: 	['53 Mathematics', '1B Mathematics', '55 Mathematics', 'H1B Mathematics', '10A Mathematics', '1A Mathematics', 'H53 Mathematics', '16A Mathematics', '32 Mathematics', '20 Electrical Engineering']
correct: 	[]

sem 0: 	major: ['Electrical Eng & Comp Sci']: 	7A Physics-B 	R1B Comparative Literature-B 	61A Computer Science-B 	1B Mathematics-D 	sem 1: 	major: ['Electrical Eng & Comp Sci']: 	61B Computer Science-B 	182AC Education-A 	53 Mathematics-C 	7B Physics-C 	sem 2: 	major: ['Electrical Eng & Comp Sci']: 	40 Electrical Engineering-C 	54 Mathematics-F 	70 Computer Science-B 	61C Computer Science-B 	195 Computer Science-Credit 	sem 3: 	major: ['Electrical Eng & Comp Sci']: 	188 Computer Science-B 	170 Computer Science-B 	169 Computer Science-A 	sem 4: 	major: ['Electrical Eng & Comp Sci']: 	162 Computer Science-A 	257 Information-A 	W1 Psychology-B 	20 Electrical Engineering-B 
label: 	['160 Computer Science', '150 Psychology', '98 Music']
predict: 	['10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	97 Education-Credit 	21 Statistics-A 	1 Sociology-Credit 	3AC Anthropology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-B 	10 Astronomy-B 	R1A English-B 	12A Philosophy-A 	16B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R1B English-B 	100A Economics-A 	53 Mathematics-B 	10 Nutritional Science & Tox-Credit 	sem 3: 	major: ['Economics']: 	20A Music-A 	103 Business Admin-Undergrad-B 	134 Statistics-B 	54 Mathematics-F 	sem 4: 	major: ['Economics']: 	54 Mathematics-B 	100B Economics-A 	C110 Economics-C 	133 Statistics-A 	135 Statistics-C 
label: 	['153 Statistics', '61A Computer Science', '138 Economics', '141 Economics']
predict: 	['10B Mathematics', '1B Mathematics', 'H54 Mathematics', '55 Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry', '20 Statistics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	84 History-Credit 	5 Political Science-A 	C109 German-A 	1 French-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Political Science-A 	R1B French-A 	101 Public Policy-A 	2 French-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	138E Political Science-A 	98 Psychology-Credit 	C184 Public Policy-Credit 	135AC English-A 	100A Economics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	110B Political Science-Credit 	16B Mathematics-B 	144 Political Science-A 	20 Statistics-B 	100B Economics-B 	sem 4: 	major: ['Political Science']: 	115 Economics-A 	C171 Economics-A 	147F Political Science-A 	167AC Political Science-A 
label: 	['140 Economics', '183 Economics', '191 Political Science', '112A Political Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	C26 Near Eastern Studies-A 	1 Economics-A 	6 Env Sci, Policy, & Mgmt-A 	16A Mathematics-A 	98 Mathematics-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	C70U Letters & Science-A 	2 Psychology-A 	R1A Theater Dance & Perf Stds-A 	98 Public Policy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	150 International & Area Stds-Credit 	52AC Theater Dance & Perf Stds-A 	10 Business Admin-Undergrad-A 	98 Education-Credit 	116 Public Health-Credit 	21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	112 Public Health-B 	R1B Theater Dance & Perf Stds-A 	139 Music-A 	100A Economics-A 	98 Education-Credit 	sem 4: 	major: ['Business Administration']: 	175 Business Admin-Undergrad-B 	100B Economics-B 	102A Business Admin-Undergrad-B 	107 Business Admin-Undergrad-B 
label: 	['103 Business Admin-Undergrad', '194 Business Admin-Undergrad', '104 Business Admin-Undergrad', '105 Business Admin-Undergrad', '100 Business Admin-Undergrad']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1A Mathematics-B 	100D Interdisciplinary Studies-A 	90A Molecular & Cell Biology-Credit 	1AL Chemistry-A 	4A History-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-B 	3A Chemistry-A 	3AL Chemistry-A 	C61 Psychology-A 	R4B College Writing Programs-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	7A Physics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	1B Biology-A 	C165 Religious Studies-B 	3BL Chemistry-A 	98 Cognitive Science-Credit 
label: 	['7B Physics', '53 Mathematics', '1A Biology', '26AC Music', '1AL Biology']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['53 Mathematics', '1A Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	N31AC English-B 	21AC Ethnic Studies-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-B 	98 Asian Studies-Credit 	W1 Psychology-Credit 	1A Mathematics-B 	10 Business Admin-Undergrad-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-B 	1 Economics-D 	40 Plant Biology-B 	98 Asian Studies-Credit 	R2B Asian American Studies-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Economics-C 	98 Asian Studies-Credit 	12A Philosophy-No Credit 	196 Business Admin-Undergrad-C 	21 Statistics-C 
label: 	['101A Economics', '1B Mathematics', '98 Asian Studies', '54 Mathematics', '148 Music']
predict: 	['16B Mathematics', '1B Biology', '5 Linguistics', '3 German', '4B Environmental Design', 'R5A Slavic Languages & Lit', '24 History', '13 Art Practice', '40 Geography', '1B Japanese']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1AL Chemistry-A 	R5A South Asian-A 	1A Mathematics-A 	98BC Mathematics-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	16B Mathematics-A 	26AC Music-A 	50 Film-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	7A College Writing Programs-Credit 	3A Chemistry-A 	N3AL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	301C Chemistry-Credit 	61A Computer Science-A 	10 Business Admin-Undergrad-A 	18 Near Eastern Studies-A 	R5B Anthropology-A 
label: 	['100B Economics', 'C162 Psychology', '20 Statistics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', 'H54 Mathematics', '55 Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 African American Studies-Credit 	61A Computer Science-B 	C62 Molecular & Cell Biology-A 	70AC Geography-Credit 	98 Molecular & Cell Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Film-A 	97 Computer Science-Credit 	54 Mathematics-No Credit 	61B Computer Science-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W61 Molecular & Cell Biology-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	61C Computer Science-C 	12A Philosophy-B 	27 Music-Credit 	198 Psychology-Credit 
label: 	['1 Cognitive Science', '70 Computer Science', '121 Sociology', '150 Sociology', '198 Computer Science']
predict: 	['16B Mathematics', '1A Mathematics', '7 Engineering', 'C3 Economics', '5 Linguistics', '1B Biology', '60 Civil & Environmental Eng', '1A Chemistry', 'W1 Psychology', '10 Business Admin-Undergrad']
correct: 	[]

sem 0: 	major: ['Music']: 	49C Music-A 	49B Music-A 	C70Y Letters & Science-A 	90A Molecular & Cell Biology-Credit 	1 Psychology-A 	150C Music-A 	sem 1: 	major: ['Music']: 	150C Music-A 	60 Music-A 	C61 Molecular & Cell Biology-A 	50 Music-A 	61A Computer Science-B 	sem 2: 	major: ['Music']: 	N140 Psychology-A 	sem 3: 	major: ['Music']: 	150C Music-A 	61 Music-A 	3AC Sociology-A 	61B Computer Science-A 	84 Rhetoric-Credit 	51 Music-A 	97 Computer Science-Credit 
label: 	['179 Music', '148 Music', '150C Music', '70 Computer Science', '61C Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B English-B 	10 Computer Science-A 	1A Chinese-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	1B Chinese-A 	98 Art Practice-Credit 	11 History of Art-A 	98 Computer Science-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	8 Art Practice-A 	70 Computer Science-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	12 Art Practice-Credit 	97 Computer Science-Credit 	26 Art Practice-A 	61B Computer Science-A 
label: 	['7B History', '98 Chemistry', '61C Computer Science', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', 'H54 Mathematics', '55 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	30 History-A 	1B Mathematics-No Credit 	7A Physics-C 	98 Astronomy-No Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-C 	50 Earth & Planetary Science-B 	10 Nutritional Science & Tox-A 	R1B History of Art-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	50 Film-A 	102 Earth & Planetary Science-B 	7B Physics-C 	53 Mathematics-C 	sem 3: 	major: ['Geophysics']: 	54 Mathematics-F 	109 Earth & Planetary Science-C 	260 Earth & Planetary Science-Credit 	100A Earth & Planetary Science-A 	101 Earth & Planetary Science-B 
label: 	['100B Earth & Planetary Science', '7C Physics', '122 Earth & Planetary Science', '130 Earth & Planetary Science', '119 Earth & Planetary Science']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '16A Mathematics', '2 Statistics', '12A Philosophy', '5 Linguistics', 'C3 Economics', '1B Biology', '10 Business Admin-Undergrad']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	2 Env Sci, Policy, & Mgmt-A 	16A Mathematics-A 	4A African American Studies-A 	2AC Anthropology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Political Science-Credit 	11 History of Art-A 	16B Mathematics-B 	1 Economics-A 	R1B History-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	110 City & Regional Planning-A 	4 Spanish-A 	20 Statistics-B 	100 Environ Econ & Policy-B 	sem 3: 	major: ['Environ Econ & Policy']: 	C180 Environ Econ & Policy-A 	190 Religious Studies-A 	25 Spanish-A 	C101 Environ Econ & Policy-A 
label: 	['135 Spanish', 'C118 Environ Econ & Policy', '102A Spanish', '155 Env Sci, Policy, & Mgmt']
predict: 	['53 Mathematics', '55 Mathematics', 'H1B Mathematics', '1B Mathematics', '10A Mathematics', 'H53 Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	21 Statistics-A 	94 Peace & Conflict Studies-Credit 	62 History of Art-Credit 	1 Economics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	100B Economics-A 	3AC Sociology-A 	53 Mathematics-B 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['Economics']: 	55 Molecular & Cell Biology-Credit 	C135 Political Science-B 	C140 South Asian-A 	39L Journalism-Credit 	101A Economics-A 
label: 	['152 Economics', '84 Media Studies', '160 Legal Studies', '40 Geography', '140 Economics']
predict: 	['10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '1A Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-No Credit 	1 French-A 	1A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-A 	2 French-No Credit 	1B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-B 	97 Computer Science-Credit 	70 Computer Science-C 	R1A English-B 
label: 	['97 Computer Science', '198 Computer Science', 'R1B English', '54 Mathematics', '128 Music']
predict: 	['10B Mathematics', '16B Mathematics', '1A Mathematics', '54 Mathematics', '12A Philosophy', '2 Statistics', 'C3 Economics', '5 Linguistics', '1B Biology', 'W1 Psychology']
correct: 	['54 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-C 	27AC African American Studies-A 	98 Sociology-Credit 	R1A Film-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	R1B Film-A 	97 Social Welfare-Credit 	10 Computer Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-B 	7A History-A 	98 Public Health-Credit 	4A African American Studies-A 
label: 	['1 Psychology', '1 Sociology', '198 Public Health', '1B Biology']
predict: 	['10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Mathematics-A 	1A Chemistry-A 	R1B History of Art-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Cognitive Science-A 	90E Molecular & Cell Biology-Credit 	25B Philosophy-A 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	7A Physics-A 	116 Public Health-Credit 	1B Mathematics-A 	98 Public Health-Credit 	15 Env Sci, Policy, & Mgmt-A 
label: 	['3BL Chemistry', '55 Mathematics', '3B Chemistry', 'C61 Molecular & Cell Biology']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1A Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry']
correct: 	['55 Mathematics', '3B Chemistry']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	C10 Physics-B 	2 History-B 	C100 Energy and Resources-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1 Economics-A 	2 Psychology-A 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R1A English-B 	20 Statistics-B 	10 Business Admin-Undergrad-B 	7A Physics-A 
label: 	['R1B English', '1A Chemistry', '7 Engineering', '25 Engineering', '7B Physics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Electrical Eng & Comp Sci']: 	61A Computer Science-A 	1A Mathematics-A 	R1B Film-A 	sem 1: 	major: ['Electrical Eng & Comp Sci']: 	1B Mathematics-A 	7A Physics-A 	61B Computer Science-A 	W23AC Art Practice-A 	sem 2: 	major: ['Electrical Eng & Comp Sci']: 	173 Art Practice-A 	16A Electrical Engineering-A 	70 Computer Science-A 	7B Physics-A 
label: 	['53 Mathematics', '170 Computer Science', '61C Computer Science', '198 Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	98 Nutritional Science & Tox-Credit 	1A Japanese-Credit 	1B Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	11 Nutritional Science & Tox-A 	12A Philosophy-A 	20 Statistics-A 	25B Philosophy-Credit 	R5B German-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	25A Philosophy-A 	27 Music-Credit 	100B Economics-A 	10 Business Admin-Undergrad-A 
label: 	['10 Astronomy', '132 Philosophy', '3 French', '100A Economics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Letters & Science-Credit 	1B Mathematics-C 	R1A Comparative Literature-B 	10 Business Admin-Undergrad-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	110 East Asian Languages-B 	10 Nutritional Science & Tox-B 	W21 Statistics-F 	1 Economics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R44 Classics-B 	53 Mathematics-C 	C82 Earth & Planetary Science-A 	21 Statistics-A 
label: 	['55 Mathematics', '29 Music', '1A Mathematics']
predict: 	['10B Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '3A Chemistry', '12A Philosophy', '8B Physics']
correct: 	['1A Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-B 	25A Philosophy-Credit 	98 Civil & Environmental Eng-Credit 	61A Computer Science-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	25B Philosophy-A 	61B Computer Science-B 	15 Env Sci, Policy, & Mgmt-A 	3AC Anthropology-A 	98 Computer Science-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C64 Molecular & Cell Biology-A 	10A Mathematics-A 	70 Computer Science-B 	39C Slavic Languages & Lit-Credit 	98 Computer Science-Credit 
label: 	['1A Mathematics', '10 Psychology', '61C Computer Science', '130 Psychology', 'C143 Psychology']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '1A Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1A Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1B Mathematics-B 	1A Mathematics-C 	7A Physics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Anthropology-Credit 	54 Mathematics-No Credit 	53 Mathematics-D 	61A Computer Science-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	61BL Computer Science-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-C 	70 Computer Science-No Credit 	61C Computer Science-C 
label: 	['55 Mathematics', 'R1B Theater Dance & Perf Stds', '70 Computer Science', '20A Music', '53 Mathematics']
predict: 	['3 German', '4B Environmental Design', '13 Art Practice', '24 History', 'R5B Anthropology', '3AL Chemistry', 'R1B Native American Studies', '45C English', '24 Psychology', '20B Arabic']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	7A Physics-B 	1 Letters & Science-Credit 	3AC Anthropology-A 	1A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	7B Physics-A 	10 Business Admin-Undergrad-A 	1B Mathematics-A 	29 Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	R1B Theater Dance & Perf Stds-A 	61A Computer Science-A 	150 Sociology-A 
label: 	['1 Cognitive Science', 'C61 Molecular & Cell Biology', '9F Computer Science', '97 Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-A 	1B Mathematics-B 	C70T Letters & Science-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-B 	7A Physics-C 	61A Computer Science-B 	50 Molecular & Cell Biology-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	7B Physics-D 	61B Computer Science-F 	R1B Celtic Studies-B 
label: 	['179 Political Science', '28 Classics', '50 Earth & Planetary Science', '3 Physical Education', '7B Physics']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '12A Philosophy', '2 Statistics', '1B Biology', '5 Linguistics', 'W1 Psychology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B Rhetoric-B 	80 Earth & Planetary Science-A 	1A Mathematics-A 	10 History-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	50 Slavic Languages & Lit-A 	1B Mathematics-A 	121 Letters & Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	23 Letters & Science-A 	20 Statistics-A 	140 UGIS-UG Interdisc Studies-A 
label: 	['100B Economics', '134 Statistics', '96 Business Admin-Undergrad', '53 Mathematics', '50AC College Writing Programs']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Geography-Credit 	98 Public Health-Credit 	1A Mathematics-B 	50 Earth & Planetary Science-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	7A Physics-C 	1B Mathematics-A 	98 Mathematics-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	7B Physics-Credit 	1AL Chemistry-A 	53 Mathematics-B 
label: 	['54 Mathematics', '10 Business Admin-Undergrad', '55 Mathematics', '1 French']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '2 Statistics', '12A Philosophy', '5 Linguistics', 'C3 Economics']
correct: 	[]

sem 0: 	major: ['Materials Science & Eng']: 	1B Mathematics-C 	7A Physics-C 	R1B History of Art-B 	169 Env Sci, Policy, & Mgmt-A 	sem 1: 	major: ['Materials Science & Eng']: 	7B Physics-C 	7 Engineering-C 	53 Mathematics-C 	sem 2: 	major: ['Materials Science & Eng']: 	120AC History-B 	7C Physics-C 	45 Engineering-B 	10A Classics-A 	92 Engineering-Credit 
