sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
predict: 	['C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '1B Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '120A Chemistry', '137B Physics', '140 Integrative Biology']
correct: 	['132 Integrative Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-D 	1 Italian Studies-B 	40 Italian Studies-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Italian Studies-B 	1A Chemistry-C 	1B Mathematics-C 	R1A College Writing Programs-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3 Italian Studies-B 	R1B Theater Dance & Perf Stds-B 	125 Scandinavian-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	4 Italian Studies-A 	55 Mathematics-No Credit 	1AL Chemistry-B 	54 Mathematics-C 	sem 4: 	major: ['Italian Studies']: 	101A Italian Studies-B 	1AL Biology-B 	160AC Env Sci, Policy, & Mgmt-B 	1A Biology-C 	53 Mathematics-B 	sem 5: 	major: ['Italian Studies']: 	55 Mathematics-B 	120 Italian Studies-A 	101B Italian Studies-B 	1B Biology-B 	sem 6: 	major: ['Italian Studies']: 	104 Italian Studies-B 	3A Chemistry-A 	3AL Chemistry-A 
label: 	['3BL Chemistry', '8A Physics', '3B Chemistry', '117 Italian Studies']
predict: 	['3B Chemistry', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '100B Molecular & Cell Biology', '8A Physics', '137B Physics']
correct: 	['3B Chemistry', '8A Physics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Chemistry-A 	16A Mathematics-A 	R1A Native American Studies-A 	1 Sociology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-B 	10 Business Admin-Undergrad-A 	3A Chemistry-C 	116 Public Health-Credit 	R1B History of Art-A 	2 Psychology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	98 Business Admin-Undergrad-Credit 	39AC Business Admin-Undergrad-A 	1B Biology-A 	157 Economics-B 	C5 Business Admin-Undergrad-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-A 	1A Biology-B 	2 Economics-A 	98 Statistics-Credit 	96 Business Admin-Undergrad-A 	sem 5: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-Credit 	sem 6: 	major: ['L&S Public Health']: 	8A Physics-B 	142 Public Health-A 	150D Public Health-A 	131 Integrative Biology-B 
label: 	['150A Public Health', '198 Civil & Environmental Eng', '150E Public Health', '132 Integrative Biology']
predict: 	['8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '132 Integrative Biology', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '100B Molecular & Cell Biology', '137B Physics', '120A Chemistry']
correct: 	['132 Integrative Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B English-B 	1A Mathematics-A 	2AC Anthropology-A 	27 Music-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Env Sci, Policy, & Mgmt-Credit 	1AL Chemistry-A 	20A Asian American Studies-A 	1A Chemistry-B 	1B Mathematics-A 	40 Plant Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	2 Statistics-B 	160 Integrative Biology-A 	3AL Chemistry-A 	1B Biology-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8A Physics-C 	3BL Chemistry-A 	12A Philosophy-Credit 	3B Chemistry-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	8B Physics-C 	sem 5: 	major: ['Letters & Sci Undeclared']: 	75 Scandinavian-A 	1AL Biology-B 	1A Biology-C 	117 Integrative Biology-B 
label: 	['181L Integrative Biology', '113L Integrative Biology', '139 Music', '198 Env Sci, Policy, & Mgmt']
predict: 	['C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '120A Chemistry', '137B Physics', '140 Integrative Biology', '130A Molecular & Cell Biology', '140 Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	98 Public Health-Credit 	4 Physical Education-Credit 	98 Mathematics-Credit 	2 Psychology-A 	116 Public Health-Credit 	10 Nutritional Science & Tox-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	4 Physical Education-Credit 	1B Mathematics-A 	R4B College Writing Programs-A 	1AL Chemistry-A 	1A Chemistry-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	115 Global Poverty & Practice-B 	1B Biology-A 	198 Public Health-Credit 	55 Molecular & Cell Biology-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	10A College Writing Programs-A 	98 Public Health-Credit 	2 Spanish-A 	3AC Sociology-A 	2 Physical Education-Credit 	sem 4: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	N3AL Chemistry-A 	sem 5: 	major: ['L&S Public Health']: 	142 Public Health-A 	150D Public Health-A 	3BL Chemistry-A 	3B Chemistry-A 	198 Public Health-Credit 	150B Public Health-A 
label: 	['198 Public Health', '1AL Biology', '1 Physical Education', '150A Public Health', '1A Biology', '110 College Writing Programs']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Chemical Engineering']: 	40 Chemical Engineering-B 	R1A French-B 	4A Chemistry-C 	39D Legal Studies-B 	1B Mathematics-C 	sem 1: 	major: ['Chemical Engineering']: 	7A Physics-B 	142 Music-A 	98 Physics-Credit 	4B Chemistry-C 	7 Engineering-C 	sem 2: 	major: ['Chemical Engineering']: 	53 Mathematics-B 	7B Physics-C 	140 Chemical Engineering-B 	112A Chemistry-B 	sem 3: 	major: ['Chemical Engineering']: 	141 Chemical Engineering-B 	54 Mathematics-B 	127AC History-Credit 	1 Physical Education-A 	150A Chemical Engineering-C 	sem 4: 	major: ['Chemical Engineering']: 	1A Biology-C 	137A Physics-B 	sem 5: 	major: ['Chemical Engineering']: 	142 Chemical Engineering-B 	45 Engineering-B 	150B Chemical Engineering-B 	185 Chemical Engineering-B 
label: 	['170A Chemical Engineering', 'C101 Letters & Science', '154 Chemical Engineering', '90 Chemical Engineering', '2 Spanish']
predict: 	['3A Chemistry', '8B Physics', 'C100A Molecular & Cell Biology', '3B Chemistry', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	[]

sem 0: 	major: ['L&S Public Health']: 	32 Mathematics-B 	20 Chicano Studies-B 	sem 1: 	major: ['L&S Public Health']: 	R1A English-B 	98 Mathematics-Credit 	1A Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-B 	98 Mathematics-Credit 	1A Chemistry-Credit 	121 Letters & Science-Credit 	15 Molecular & Cell Biology-Credit 	10B Mathematics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	97 Ethnic Studies-Credit 	1B Biology-B 	R5B Scandinavian-A 	8A Physics-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	198 Computer Science-Credit 	3A Chemistry-C 	8B Physics-C 	3AL Chemistry-A 	37 Geography-A 	sem 5: 	major: ['Letters & Sci Undeclared']: 	W1 Psychology-B 	3B Chemistry-C 
label: 	['1AL Biology', '3AC Anthropology', '1A Biology', '3AC Sociology']
predict: 	['4A Chemistry', '32 Molecular & Cell Biology', '35AC Integrative Biology', 'C112L Molecular & Cell Biology', '150L Molecular & Cell Biology', 'H7A Physics', 'C144 Integrative Biology', '7C Physics', '131L Integrative Biology', 'C62 Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-A 	28 Classics-A 	1B Mathematics-A 	98 Env Sci, Policy, & Mgmt-Credit 	98 Psychology-Credit 	1 Economics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Cognitive Science-A 	1B Biology-B 	C64 Molecular & Cell Biology-B 	61A Computer Science-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C142 South Asian-A 	8A Physics-C 	R4B College Writing Programs-A 	1AL Chemistry-A 	1A Chemistry-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8B Physics-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	1A Tamil-A 	1AL Biology-A 	3A Chemistry-B 	3AL Chemistry-A 	1A Biology-B 
label: 	['3B Chemistry', '140 Integrative Biology', '3BL Chemistry', 'C143B Integrative Biology', '1B Tamil', '190 Design Innovation']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '7B Physics', '100B Molecular & Cell Biology', '120A Chemistry']
correct: 	['3B Chemistry']

sem 0: 	major: ['Letters & Sci Undeclared']: 	96 Mathematics-A 	98 Mathematics-Credit 	14N Public Health-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 French-A 	98 Mathematics-Credit 	32 Mathematics-A 	1A Chemistry-B 	C96 Integrative Biology-Credit 	98 Chicano Studies-Credit 	1AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	3A Chemistry-B 	98 Mathematics-Credit 	R1A Comparative Literature-B 	1 Physical Education-Credit 	1A Mathematics-A 	98 Chicano Studies-Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	R1B New Media-B 	1B Biology-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	35AC Integrative Biology-Credit 	3BL Chemistry-A 	1B Mathematics-B 	1 Physical Education-Credit 	3B Chemistry-B 
label: 	['1AL Biology', '3 French', '1A Biology', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Molecular & Cell Biology-Credit 	1AL Chemistry-A 	11A Persian-A 	1 Psychology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	11B Persian-A 	1A Chemistry-A 	R1B English-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	10 Nutritional Science & Tox-A 	98 Mathematics-Credit 	3AC Sociology-A 	3A Chemistry-A 	16A Mathematics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	14 Art Practice-A 	1B Biology-A 	16B Mathematics-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	150B Public Health-A 	116 Public Health-Credit 	3BL Chemistry-A 	20A Persian-A 	3B Chemistry-A 
label: 	['1A Biology', '1AL Biology', '243C Public Health', '140 Near Eastern Studies', '150D Public Health']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-A 	98 Public Health-Credit 	24 Bioengineering-Credit 	R1A Comparative Literature-A 	16A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	R1B Chicano Studies-A 	1AL Chemistry-A 	10 Nutritional Science & Tox-A 	1A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	32 Molecular & Cell Biology-A 	116 Public Health-Credit 	1 Psychology-A 	98 Public Health-Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	40 Italian Studies-A 	1 Sociology-A 	98 Ethnic Studies-Credit 	3A Chemistry-A 	sem 4: 	major: ['L&S Public Health']: 	98 Molecular & Cell Biology-Credit 	3B Chemistry-A 	135A Chicano Studies-A 	142 Public Health-A 	3BL Chemistry-A 
label: 	['150D Public Health', '15 Molecular & Cell Biology', '1AL Biology', '1A Biology', '150A Public Health']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Chemical Biology']: 	1A Chemistry-B 	1A Mathematics-A 	96 Chemistry-Credit 	R1B English-B 	24 Bioengineering-Credit 	1AL Chemistry-A 	sem 1: 	major: ['Chemical Biology']: 	8A Physics-B 	53 Mathematics-B 	50AC Env Sci, Policy, & Mgmt-B 	4B Chemistry-B 	98 Psychology-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	3AL Chemistry-A 	8B Physics-A 	10A Classics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Psychology-A 	3BL Chemistry-A 	98 Public Health-Credit 	3B Chemistry-A 	116 Public Health-Credit 	1B Biology-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-A 	1A Biology-B 	sem 5: 	major: ['Letters & Sci Undeclared']: 	301B Chemistry-Credit 	181 Anthropology-B 	131L Integrative Biology-B 	164 Integrative Biology-A 	131 Integrative Biology-A 
label: 	['140 Integrative Biology', '197 Education', '142 Public Health', '166 Integrative Biology', '29 Music']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '7A Physics', '150 Molecular & Cell Biology', '132 Integrative Biology', '100B Molecular & Cell Biology', '7B Physics', '137B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Psychology-A 	24 English-Credit 	C62 Molecular & Cell Biology-B 	24 Linguistics-Credit 	24 Integrative Biology-B 	3AC Anthropology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Anthropology-A 	2 Political Science-A 	116 Public Health-Credit 	12 History-A 	50 Molecular & Cell Biology-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Molecular & Cell Biology-Credit 	16A Mathematics-A 	1A Chemistry-A 	1B Biology-B 	R5A South Asian-A 	1AL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	16B Mathematics-A 	C142 South Asian-A 	3AL Chemistry-A 	8A Physics-A 	sem 4: 	major: ['Psychology']: 	3BL Chemistry-A 	8B Physics-B 	C140 South Asian-A 	3B Chemistry-A 	140 Psychology-A 	167AC Psychology-A 
label: 	['135 Psychology', 'C162 Psychology', '110 South Asian', '101 Psychology', '1AL Biology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '150 Molecular & Cell Biology', '1AL Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology', '137B Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	R2B Asian American Studies-A 	1AL Chemistry-A 	1A Mathematics-A 	1A Chemistry-C 	35AC Integrative Biology-B 	sem 1: 	major: ['Nutritional Science']: 	98 Music-Credit 	3A Chemistry-B 	16B Mathematics-A 	11 Nutritional Science & Tox-A 	3AL Chemistry-A 	sem 2: 	major: ['Nutritional Science']: 	3BL Chemistry-A 	3 Psychology-Credit 	3B Chemistry-B 	sem 3: 	major: ['Nutritional Science']: 	10 Nutritional Science & Tox-A 	98 Philosophy-Credit 	32 Molecular & Cell Biology-A 	1 Economics-B 	32L Molecular & Cell Biology-A 
label: 	['C8 Statistics', '1AL Biology', '88 Letters & Science', '1A Biology', '1 Psychology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	98 Public Health-Credit 	25 Spanish-A 	1A Chemistry-B 	3AC Anthropology-A 	24 Integrative Biology-Credit 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	190 Asian American Studies-A 	1B Mathematics-B 	61A Computer Science-B 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	8A Physics-A 	3BL Chemistry-A 	115 Global Poverty & Practice-A 	97 Computer Science-Credit 
label: 	['1AL Biology', 'R1B Theater Dance & Perf Stds', '150 Global Poverty & Practice', '1A Biology', '8B Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1A Mathematics-A 	3AC Sociology-A 	24 Classics-Credit 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	29 Music-A 	40 Italian Studies-A 	1B Mathematics-A 	1B Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	3A Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	8A Physics-A 	R5A German-A 
label: 	['8B Physics', '1A Biology', '301C Chemistry', '1AL Biology', 'R1B Music', '1 Psychology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	R4B College Writing Programs-A 	1A Chemistry-B 	1A Mathematics-B 	24 Integrative Biology-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	3AL Chemistry-A 	10B Mathematics-B 	3AC Anthropology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1AL Biology-B 	1A Biology-A 	12 Art Practice-A 	301B Chemistry-Credit 
label: 	['100E History', '301B Chemistry', '8B Physics', 'C8 Computer Science', '1B Biology']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '7A Physics', '150 Molecular & Cell Biology', '132 Integrative Biology', '1B Biology', '100B Molecular & Cell Biology']
correct: 	['8B Physics', '1B Biology']

sem 0: 	major: ['Molecular Environ Biology']: 	16A Mathematics-A 	24 African American Studies-Credit 	R1A Comparative Literature-B 	1AL Chemistry-A 	98 Mathematics-Credit 	1A Chemistry-C 	sem 1: 	major: ['Molecular Environ Biology']: 	3AL Chemistry-A 	3A Chemistry-A 	R1B Philosophy-B 	3AC Anthropology-A 	98 Molecular & Cell Biology-Credit 	1A Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W187 Interdisciplinary Studies-A 	196 International & Area Stds-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	3B Chemistry-A 	98 Political Science-Credit 	3BL Chemistry-A 	27 Music-A 
label: 	['2 Psychology', '8A Physics', '1A Biology', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B French-A 	1AL Chemistry-A 	98 German-Credit 	1A Mathematics-B 	24 Bioengineering-Credit 	98 Bioengineering-Credit 	1A Chemistry-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	98 Computer Science-No Credit 	25 Bioengineering-Credit 	1B Mathematics-B 	61A Computer Science-Credit 	3AL Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W53 Mathematics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	98 Engineering-Credit 	54 Mathematics-C 	7A Physics-B 	1B Biology-C 	171 Industrial Eng & Ops Rsch-A 
label: 	['1A Biology', '3BL Chemistry', '7B Physics', '1AL Biology', '3B Chemistry']
predict: 	['1AL Biology', '1A Chemistry', '8A Physics', '140 Integrative Biology', '150L Molecular & Cell Biology', '7C Physics', '1B Chemistry', 'C148 Molecular & Cell Biology', 'C114 Molecular & Cell Biology', '160L Molecular & Cell Biology']
correct: 	['1AL Biology']

sem 0: 	major: ['CNR Undeclared']: 	1AL Chemistry-A 	90A Religious Studies-A 	1A Chemistry-A 	20 Plant Biology-Credit 	1A Mathematics-A 	sem 1: 	major: ['CNR Undeclared']: 	3AL Chemistry-A 	R1B English-A 	131AC Sociology-Credit 	54 Mathematics-Credit 	3A Chemistry-B 	sem 2: 	major: ['CNR Undeclared']: 	197 Education-Credit 	1B Biology-A 	3BL Chemistry-A 	3B Chemistry-A 	18 Near Eastern Studies-A 	sem 3: 	major: ['Genetics & Plant Biology']: 	131A Statistics-A 	1AL Biology-A 	198 Physical Education-Credit 	197 Education-Credit 	1 German-A 	1A Biology-B 
label: 	['3 German', 'C107L Plant Biology', '113 Plant Biology', '135 Plant Biology']
