sem 0: 	major: ['Letters & Sci Undeclared']: 	7A Japanese-A 	5 Political Science-Credit 	C19 Psychology-Credit 	C10 Physics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Sociology-A 	166 Sociology-Credit 	2 Political Science-A 	7B History-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Political Science-A 	3 Political Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-Credit 	R5B Slavic Languages & Lit-B 	54 Mathematics-Credit 	198 Business Admin-Undergrad-Credit 	sem 4: 	major: ['Political Science']: 	12A Philosophy-B 	112A Political Science-B 	154 Legal Studies-B 	1BX Korean-A 	149E Political Science-A 	sem 5: 	major: ['Political Science']: 	W21 Statistics-A 	sem 6: 	major: ['Political Science']: 	100A Economics-B 	190 Public Policy-B 	143B Political Science-B 	136 Economics-B 
label: 	['151 Economics', '186 Political Science', '109P Political Science', '140 Economics']
sem 0: 	major: ['Letters & Sci Undeclared']: 	27 Music-B 	61A Computer Science-Credit 	94 Peace & Conflict Studies-Credit 	1A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	10 Business Admin-Undergrad-B 	1B Mathematics-B 	C10 Astronomy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W53 Mathematics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	20 Statistics-C 	1 Economics-B 	C140 South Asian-A 	190 Education-A 	80 Earth & Planetary Science-A 
label: 	['126 Near Eastern Studies', '133 Economics', 'R1B Rhetoric', '101A Economics']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '16B Mathematics', '113 Mathematics', '10B Mathematics', 'W21 Statistics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Military Affairs-A 	2 Military Science-A 	1A Mathematics-C 	C62 Molecular & Cell Biology-B 	1 Military Science-Credit 	1AX Korean-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-C 	1BX Korean-A 	1 Military Science-Credit 	3 Military Science-A 	1 Military Affairs-B 	1 Economics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-B 	W12 Astronomy-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	188 Korean-A 	160AC Env Sci, Policy, & Mgmt-A 	45 International & Area Stds-B 	C115 Japanese-Credit 
label: 	['10 Nutritional Science & Tox', '118C History', '186 Korean', '106 International & Area Stds']
predict: 	['16B Mathematics', '10B Mathematics', 'C3 Economics', '133 Statistics', '1A Mathematics', 'C181 Environ Econ & Policy', 'C101 Environ Econ & Policy', 'C1 Environ Econ & Policy', '121A Mathematics', '131 Economics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-A 	1A Chemistry-Credit 	130AC Sociology-Credit 	1AL Chemistry-A 	12A Philosophy-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Business Admin-Undergrad-Credit 	16B Mathematics-B 	94 Peace & Conflict Studies-Credit 	10 Business Admin-Undergrad-A 	10 Nutritional Science & Tox-A 	98 Rhetoric-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	R1B Comparative Literature-B 	198 Business Admin-Undergrad-Credit 	158 Native American Studies-A 	25A Philosophy-B 
label: 	['103 Business Admin-Undergrad', '176 Asian American Studies', '100A Economics', 'C167 Sociology', '98 Energy and Resources']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '128A Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-A 	98 Business Admin-Undergrad-Credit 	150 Psychology-Credit 	5 Linguistics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	26AC Music-A 	98 Mathematics-Credit 	98 Business Admin-Undergrad-Credit 	40 Plant Biology-A 	10 Business Admin-Undergrad-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B Italian Studies-A 	1 Economics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-C 	116 Public Health-Credit 	54 Mathematics-B 	R5A German-A 
label: 	['101A Economics', '134 Statistics', '70A Letters & Science']
predict: 	['2 Statistics', '20 Statistics', '100A Economics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics', 'W21 Statistics', '1B Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	5 Linguistics-A 	1 Economics-A 	98 Sociology-Credit 	24 English-Credit 	C13 Integrative Biology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	100 Linguistics-A 	13 Plant Biology-A 	20 Statistics-A 	45 International & Area Stds-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	122AC Ethnic Studies-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	110 Linguistics-A 	158C History-A 	1A Hebrew-A 	100 Political Economy-A 
label: 	['122A Political Science', '115 Linguistics', '106 International & Area Stds', '1B Hebrew']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '113 Mathematics', '16B Mathematics', '10B Mathematics']
correct: 	[]

sem 0: 	major: ['CNR Undeclared']: 	40D Letters & Science-B 	16A Mathematics-A 	C30T Letters & Science-A 	50AC Env Sci, Policy, & Mgmt-A 	sem 1: 	major: ['CNR Undeclared']: 	16B Mathematics-B 	10 Computer Science-A 	C10 Astronomy-Credit 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['CNR Undeclared']: 	1 Economics-A 	sem 3: 	major: ['CNR Undeclared']: 	21 Statistics-B 	98 Psychology-Credit 	27 Music-A 	R1B Theater Dance & Perf Stds-A 
label: 	['C103 Public Policy', '100A Economics', '170 Business Admin-Undergrad', 'C175 Demography']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C19 Psychology-Credit 	C12 Astronomy-B 	10 Business Admin-Undergrad-B 	1 Sociology-Credit 	16A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	24 Near Eastern Studies-A 	3AC Anthropology-Credit 	R5B Anthropology-B 	16B Mathematics-C 	50AC Env Sci, Policy, & Mgmt-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	133 Statistics-Credit 	1 Economics-A 	C12 Env Sci, Policy, & Mgmt-Credit 	1B Mathematics-C 
label: 	['C175 Economics', '100A Economics', '98 Public Policy', '157 Economics']
predict: 	['2 Statistics', '100A Economics', '20 Statistics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '128A Mathematics', '134 Statistics', '55 Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	50AC Env Sci, Policy, & Mgmt-B 	C140V Letters & Science-Credit 	C12 Earth & Planetary Science-B 	16A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-F 	R1B African American Studies-A 	2 Spanish-B 	1 Economics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3 Spanish-No Credit 	10 Business Admin-Undergrad-B 	16B Mathematics-B 	R5A German-B 
label: 	['100XB Chinese', '10B Classics', '72 Native American Studies']
predict: 	['2 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '128A Mathematics', '1B Mathematics', '134 Statistics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Mathematics-Credit 	C10 Development Studies-A 	45 Slavic Languages & Lit-B 	16A Mathematics-A 	R1B Comparative Literature-A 	24 Near Eastern Studies-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C61 Molecular & Cell Biology-B 	2 Political Science-Credit 	1 Economics-C 	16B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	158 Legal Studies-B 	45 International & Area Stds-B 	10 Theater Dance & Perf Stds-A 	3 Spanish-A 
label: 	['100A Economics', '135 Peace & Conflict Studies', 'C112 Geography', '120 South & SE Asian Studies']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '1B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Nutritional Science']: 	8 College Writing Programs-Credit 	sem 1: 	major: ['Nutritional Science']: 	R1A College Writing Programs-A 	16A Mathematics-B 	98 Env Sci, Policy, & Mgmt-Credit 	sem 2: 	major: ['Nutritional Science']: 	10 Nutritional Science & Tox-B 	R5B South Asian-B 	16B Mathematics-A 	14 Public Health-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	C20 Earth & Planetary Science-Credit 	98 Social Welfare-Credit 	20 Statistics-C 
label: 	['100A Economics', '7B Chinese', '98 Social Welfare', '190AC Education']
predict: 	['2 Statistics', '100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', 'W21 Statistics', '113 Mathematics', '128A Mathematics', '134 Statistics', '133 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Business Admin-Undergrad-Credit 	98 Public Policy-Credit 	16A Mathematics-B 	80 Earth & Planetary Science-A 	5 History-B 	R1B English-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	4 Political Science-B 	40 Plant Biology-A 	10 Business Admin-Undergrad-B 	16B Mathematics-B 	50 Film-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	C167 Sociology-A 	5 Political Science-B 	1 Economics-B 	25AC College Writing Programs-A 
label: 	['198 Business Admin-Undergrad', '171 Comparative Literature', '165 Business Admin-Undergrad', '144 Political Science', '100A Economics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '1B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	62 History of Art-B 	7A History-A 	10 Astronomy-Credit 	16A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	R5A Italian Studies-A 	97 Education-Credit 	10 Business Admin-Undergrad-B 	116 Public Health-Credit 	16B Mathematics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W9 College Writing Programs-Credit 	W21 Statistics-F 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Italian Studies-B 	1 Economics-C 	192L History of Art-A 	R5B Italian Studies-A 
label: 	['W21 Statistics', '100A Economics', '2 Italian Studies']
predict: 	['100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '128A Mathematics', '133 Statistics', '1A Mathematics', '110 Mathematics', '121A Mathematics', '131 Economics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-B 	2AC Anthropology-A 	C12 Astronomy-Credit 	1 Economics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	190 South & SE Asian Studies-A 	1 Psychology-A 	R5B Scandinavian-B 	16B Mathematics-B 	121 Sociology-Credit 	W1X Filipino-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	140 Music-A 	10 Business Admin-Undergrad-B 	98 Public Policy-Credit 	6 Env Sci, Policy, & Mgmt-A 	120 South & SE Asian Studies-A 
label: 	['111AC Sociology', '39I South & SE Asian Studies', '100A Economics', '191K Mechanical Engineering']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	N10 Media Studies-B 	10 Computer Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-B 	C30T Letters & Science-A 	27AC African American Studies-A 	1A Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	39A Earth & Planetary Science-A 	98 Computer Science-Credit 	1B Mathematics-A 	5B African American Studies-A 	61B Computer Science-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-C 	115 Global Poverty & Practice-A 	195 Computer Science-Credit 	50AC Env Sci, Policy, & Mgmt-A 	61C Computer Science-B 	179 Political Science-Credit 
label: 	['54 Mathematics', 'R4B College Writing Programs', 'C103 Public Policy', '198 Computer Science', '16A Electrical Engineering']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics']
correct: 	['54 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	94 Peace & Conflict Studies-Credit 	7A History-A 	98 Mathematics-Credit 	54 Mathematics-B 	10 Computer Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	10 Business Admin-Undergrad-A 	42 Env Sci, Policy, & Mgmt-A 	C10 Astronomy-A 	24 Psychology-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	116 Public Health-Credit 	10 Plant Biology-A 	161 Env Sci, Policy, & Mgmt-Credit 	C140 South Asian-Credit 
label: 	['152 Economics', 'C8 Computer Science', '100A Economics', '198 Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C82 Earth & Planetary Science-A 	126 Peace & Conflict Studies-A 	1A Mathematics-A 	100AC History-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	C142 South Asian-A 	20 Statistics-A 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	106 Business Admin-Undergrad-A 	102A Business Admin-Undergrad-A 	105 Business Admin-Undergrad-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	98 Statistics-Credit 	134 Statistics-A 	1 Economics-B 	54 Mathematics-B 
label: 	['98 African American Studies', '53 Mathematics', '133 Statistics', '100A Economics', '170 Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '16B Mathematics', 'W21 Statistics', '128A Mathematics']
correct: 	['53 Mathematics', '100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Integrative Biology-Credit 	C187 History-A 	1A Mathematics-A 	1AL Chemistry-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	1B Mathematics-A 	3A Chemistry-A 	3AL Chemistry-A 	1B Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	3BL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1A Biology-A 	1 Psychology-A 	C64 Psychology-Credit 	1 Economics-A 	194 Integrative Biology-Credit 	1AL Biology-A 	97 Education-Credit 
label: 	['102 Molecular & Cell Biology', '8A Physics', '173AC Ethnic Studies', '20 Statistics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '100A Economics', '140 Economics', '113 Mathematics', 'C3 Economics', '10B Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R2B Asian American Studies-B 	16A Mathematics-B 	10 Peace & Conflict Studies-B 	10 Nutritional Science & Tox-B 	179 Political Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C10 Astronomy-B 	166 Sociology-A 	40 Italian Studies-A 	16B Mathematics-B 	1 Economics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	105 Business Admin-Undergrad-B 	179 Business Admin-Undergrad-A 	110 Sociology-A 	10 Business Admin-Undergrad-A 	C171 American Studies-B 
label: 	['20 Statistics', '137 Anthropology', '117 Sociology', '50AC Env Sci, Policy, & Mgmt']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	5 Political Science-A 	16A Mathematics-A 	C70V Letters & Science-A 	40D Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	4 Philosophy-Credit 	10 Nutritional Science & Tox-A 	26AC Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	100A Economics-A 	3 Political Science-A 	1 German-A 
label: 	['98 College Writing Programs', '2 German', '50 Slavic Languages & Lit', '126 Public Health', '20 Statistics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	44 Env Sci, Policy, & Mgmt-B 	1 Sociology-A 	R1A English-A 	1A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	98 Computer Science-Credit 	R1B English-B 	61A Computer Science-Credit 	10 Business Admin-Undergrad-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	121 Sociology-A 	1 Economics-A 	105 Economics-B 	20 Statistics-B 
label: 	['100A Economics', '54 Mathematics', '134 Statistics', '170 Anthropology']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics', 'W21 Statistics']
correct: 	['100A Economics', '54 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	21 Statistics-B 	17A Classics-C 	24 Theater Dance & Perf Stds-Credit 	1A Mathematics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	70A Letters & Science-B 	44 Music-A 	1 Economics-B 	20A Music-A 	R1A Comparative Literature-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	R1B Film-B 	27 Music-B 	10 Computer Science-No Credit 	98 Music-Credit 
label: 	['10 Nutritional Science & Tox', '53 Mathematics', '20B Music', '10 Business Admin-Undergrad', '134 Statistics']
predict: 	['100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', 'W21 Statistics', '128A Mathematics', '133 Statistics', '1A Mathematics', '131 Economics', 'C101 Environ Econ & Policy']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	3 French-B 	98 German-Credit 	16B Mathematics-A 	5 Political Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-B 	98 Statistics-Credit 	C142 South Asian-A 	1 Economics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-Credit 	20 Statistics-C 	R1A College Writing Programs-A 
label: 	['96 Business Admin-Undergrad', '100A Economics', 'R5B Anthropology', '16A Mathematics']
predict: 	['2 Statistics', '100A Economics', '140 Economics', '16B Mathematics', 'C3 Economics', '10B Mathematics', 'W21 Statistics', '128A Mathematics', '133 Statistics', '1A Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	131B History-B 	179 Political Science-Credit 	1A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A Rhetoric-A 	61B Computer Science-A 	1 Economics-A 	97 Computer Science-Credit 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	61C Computer Science-A 	R1B Film-A 	100A Economics-A 	70 Computer Science-A 
label: 	['20 Statistics', '98 Nutritional Science & Tox', 'C30V Letters & Science', '54 Mathematics', '170 Computer Science']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics', '16B Mathematics']
correct: 	['20 Statistics', '54 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	171AC Dutch-A 	54 Mathematics-A 	C82 Earth & Planetary Science-A 	61A Computer Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C70U Letters & Science-A 	98 Computer Science-Credit 	1 Economics-A 	C142 South Asian-A 	61B Computer Science-A 	24 Political Economy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	195 Computer Science-Credit 	70 Computer Science-B 	10 Business Admin-Undergrad-A 	61C Computer Science-B 	97 Computer Science-Credit 
label: 	['96 Business Admin-Undergrad', '134 Statistics', '170 Computer Science', '97 Computer Science', '100A Economics']
